Bus,Date,Hour,LMP,LMP DA,Overgeneration,Shortfall
CopperSheet,2020-01-14,20,36.123987,,0.0,0.0
CopperSheet,2020-01-14,21,33.752674,,0.0,0.0
CopperSheet,2020-01-14,22,26.790747,,0.0,0.0
CopperSheet,2020-01-14,23,25.3,,0.0,0.0
CopperSheet,2020-01-14,24,22.492903,,0.0,0.0
CopperSheet,2020-01-15,1,20.419032,,0.0,0.0
CopperSheet,2020-01-15,2,19.034194,,0.0,0.0
CopperSheet,2020-01-15,3,19.034194,,0.0,0.0
CopperSheet,2020-01-15,4,0.0,,0.0,0.0
CopperSheet,2020-01-15,5,16.970779,,0.0,0.0
CopperSheet,2020-01-15,6,22.732415,,0.0,0.0
CopperSheet,2020-01-15,7,27.274839,,0.0,0.0
CopperSheet,2020-01-15,8,27.050323,,0.0,0.0
CopperSheet,2020-01-15,9,21.11634,,0.0,0.0
CopperSheet,2020-01-15,10,0.0,,0.0,0.0
CopperSheet,2020-01-15,11,0.0,,0.0,0.0
CopperSheet,2020-01-15,12,18.861,,0.0,0.0
CopperSheet,2020-01-15,13,19.034194,,0.0,0.0
CopperSheet,2020-01-15,14,19.034194,,0.0,0.0
CopperSheet,2020-01-15,15,18.573548,,0.0,0.0
CopperSheet,2020-01-15,16,21.11634,,0.0,0.0
CopperSheet,2020-01-15,17,23.07,,0.0,0.0
CopperSheet,2020-01-15,18,26.324188,,0.0,0.0
CopperSheet,2020-01-15,19,33.947002,,0.0,0.0
CopperSheet,2020-01-15,20,36.123987,,0.0,0.0
CopperSheet,2020-01-15,21,33.752674,,0.0,0.0
CopperSheet,2020-01-15,22,30.530146,,0.0,0.0
CopperSheet,2020-01-15,23,26.790747,,0.0,0.0
CopperSheet,2020-01-15,24,25.3,,0.0,0.0
CopperSheet,2020-01-16,1,23.875484,,0.0,0.0
CopperSheet,2020-01-16,2,27.274839,,0.0,0.0
CopperSheet,2020-01-16,3,27.050323,,0.0,0.0
CopperSheet,2020-01-16,4,25.908442,,0.0,0.0
CopperSheet,2020-01-16,5,23.07,,0.0,0.0
CopperSheet,2020-01-16,6,23.875484,,0.0,0.0
CopperSheet,2020-01-16,7,26.324188,,0.0,0.0
CopperSheet,2020-01-16,8,33.947002,,0.0,0.0
CopperSheet,2020-01-16,9,20.846104,,0.0,0.0
CopperSheet,2020-01-16,10,8.1,,0.0,0.0
CopperSheet,2020-01-16,11,0.0,,0.0,0.0
CopperSheet,2020-01-16,12,0.0,,0.0,0.0
CopperSheet,2020-01-16,13,0.0,,0.0,0.0
CopperSheet,2020-01-16,14,0.0,,0.0,0.0
CopperSheet,2020-01-16,15,0.0,,0.0,0.0
CopperSheet,2020-01-16,16,8.1,,0.0,0.0
CopperSheet,2020-01-16,17,19.034194,,0.0,0.0
CopperSheet,2020-01-16,18,26.324188,,0.0,0.0
CopperSheet,2020-01-16,19,36.123987,,0.0,0.0
CopperSheet,2020-01-16,20,27.050323,,0.0,0.0
CopperSheet,2020-01-16,21,23.875484,,0.0,0.0
